OD_id,matching_prob,ride_distance,detour_distance,shared_distance,saved_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,saved_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker
266,0.9996077834795905,10093.489285882248,1321.8559639631328,4638.435873919184,2796.495185835217,10443.595439093913,1671.9621171747995,4910.3872158472595,3093.319881704522,9291.682134146688,520.048812227572,2283.6076472425743,1313.0608554285661
267,0.9999218989055244,4209.878080365925,882.7737559660808,3027.870975880217,1120.7714482329038,4582.5850811278015,1255.480756727959,3101.8897488945563,929.4408780793128,3619.2581757197336,292.153851319889,1568.6388706508476,683.5315464313475
268,0.9997669640635929,11876.19526233349,1752.171477660975,5619.403119588551,3149.6165223692965,11859.382493170397,1735.3587084978833,5460.334343670892,3561.8611533816747,11028.199604743888,904.1758200713786,2951.1710187866097,1409.0871573372058
269,0.9997694009093727,8882.654449909807,1422.6136833417336,4951.6532285048,2768.813054619061,9001.919738632634,1541.8789720645652,4893.886826571756,2937.74646128714,7955.4850537272905,495.4442871592205,2008.8398325205064,1002.2745246838737
270,0.9706611885672601,11135.482047018826,1270.7530955790473,4671.241316125525,2913.657893509633,11203.301518450531,1338.5725670107454,4272.019666750477,2865.29472410608,10301.616010689573,436.8870592497888,2009.9794656835672,1128.7177166456206
271,0.9996128733534889,7872.090181337648,1276.191182568975,4928.62942167402,2797.248553971371,8011.24340800692,1415.3444092382408,4741.243333703431,2697.181816733225,6882.025465713504,286.1264669448289,1612.0248537339698,910.5102230460822
272,0.9999848865251605,6591.725646584249,997.0576313493455,4416.465620189206,2262.937760303145,6542.825790069038,948.1577748341363,4295.384947688534,2373.887762813667,6008.683319640157,414.015304405253,1775.1423072426342,803.183822856282
273,0.9997065239082736,11840.784908829011,1387.1649657577639,5233.201471056238,3237.574187655222,12152.70521332314,1699.0852702518985,5405.827892887636,3663.397678031252,10919.997610517923,466.377667446675,2303.614741198488,1252.2647334137537
274,0.9999886220725905,5809.7932275306475,905.5032364777092,3851.8256747512633,1713.9264446254886,5688.473123211742,784.1831321588008,3650.336414674723,1885.0553818167089,5257.780181985277,353.4901909323368,1282.2303354807962,386.97216613481686
275,0.9998907044994612,5358.605685991486,1014.6266305800299,3441.6246849781505,1478.04942627784,5571.443211464806,1227.4641560533532,3431.0841973490633,1660.54169610625,4756.267451801632,412.28839639017735,1757.931367665421,663.1924317997172
276,0.8286590285891205,4373.22701562412,786.6659439724285,2110.3498493431134,624.0817758174782,4457.140351913335,870.5792802616405,1657.0080197024495,325.8188100411841,3803.7762771105986,217.21520545890777,1026.4917080618216,410.96188403256474
277,0.9999533267608852,11236.836099958125,1142.678282883622,4772.271736253965,2891.6258955494245,11505.558297437934,1411.4004803634357,4568.220960947034,3017.121125093166,10675.018044765762,580.8602276912551,2953.8587119737213,1690.63925400941
278,0.8516723608213137,13730.834509366594,772.4175843143727,7711.538490583161,6479.59726247621,13932.002389482563,973.5854644303444,5150.479287600269,4055.3130464857413,13252.912009691181,294.4950846389612,5183.224310074497,4488.888260594395
279,0.999965028469943,7917.928749809564,579.1642976041182,4845.869895526158,3176.589478139733,8126.918463941763,788.1540117363124,4878.939810376671,3209.4767292981633,7450.240204363978,111.47575215853,1950.7196720251045,1272.0943149924658
280,0.9959252117849258,4579.681025960099,675.8358830803035,3061.638375962312,959.203605737649,4592.625513270176,688.7803703903825,2824.7911638778382,673.4831973696306,4104.152756331003,200.30761345120771,1111.4259251326523,494.2363778128228
281,0.9948574543319938,4650.774412894597,736.5260667763646,3021.1561469490694,1203.8080620207281,4746.416520818796,832.1681747005641,2829.6734458539436,1173.2222947891462,4024.6093330418644,110.3609869236316,891.9678974490843,321.01675344179574
282,0.8506625695371963,20646.53593916943,1174.6520898212584,7197.517751596908,5705.923380712738,20793.276556752593,1321.392707404425,6327.0208151871175,4956.129436046284,19616.05610251492,144.1722531667606,2263.4301487143243,1840.916843990255
283,0.9999953242189246,6654.060786961258,975.9959790070104,4168.064913884282,2173.9214597861087,6653.137675978769,975.072868024523,4079.072013754142,2459.7895251940154,6114.835825072137,436.7710171178885,1912.2976545452166,813.6334685252864
284,0.9992853684199816,3055.6564241948063,531.4507754717115,2243.664461473448,515.5611087022365,3485.8182225202163,961.61257379712,2029.9689392504295,477.197337036349,2629.837540785904,105.63189206280933,1344.758674860116,304.2497731815858
285,0.9965048669611735,2133.8930482233045,413.52768054446307,1580.1316420338967,71.59442874741535,2626.859450399955,906.4940827211146,1440.8579555318227,-111.9669668227327,1744.680665552165,24.31529787332399,961.4847378204702,119.66857591307685
286,0.9999921225956058,8410.26746838512,1350.938492775448,4446.791470901193,2344.40961981332,8588.114289990917,1528.7853143812413,4558.219015086724,2537.351062475639,7575.3741030292,516.0451274195269,1957.4773875333872,958.7228607165322
287,0.9978962707928489,9427.369077337471,1274.4568379104364,5113.726064072965,3358.293072482148,9606.222805516181,1453.3105660891483,5019.156283049707,3406.8642705689017,8606.146342682063,453.23410325502573,2277.5495821797435,1433.1750294713856
288,0.9990580879111933,5650.630599959484,780.6496246932957,3764.3713270171575,1848.7938347128654,5717.180213323276,847.1992380570885,3591.353089698793,1677.8983128377765,5145.850231413062,275.8692561468745,1624.5623484869755,849.0642661640811
289,0.831379497114461,17482.935277062115,1037.7893824207817,7225.242441396774,5777.702515595011,17691.00821723229,1245.86232259096,5349.730791063854,4044.4418596786945,16656.718828018806,211.57293337747703,3677.470350225197,3095.556719006109
290,0.980416240819546,6391.7762042641725,885.126448561171,4421.68138003136,2228.588188810048,6604.420643291729,1097.7708875887267,4151.3307848145205,1813.5042452886273,5585.036764231712,78.38700852871008,1370.9152223616002,895.8643792415509
291,0.9959821925260585,3225.4964706446435,548.5967686799702,2420.8517277281844,139.47367395561326,3525.076995148547,848.1772931838733,2273.9942316979923,57.09871150488832,2763.1125301389675,86.21282817429365,1181.1835333666622,108.3463053787896
292,0.9999914545438837,6504.6500465134195,843.1861146666391,4304.71056308783,2468.0848930483844,6526.38221379814,864.9182819513555,4216.740617684688,2616.967050303894,5998.07945799801,336.61552615123156,1835.0243269521804,935.3637487953205
293,0.9487391952655456,15248.229198709922,1418.3459727649736,4327.315372688204,2422.7188749582365,15555.44013272888,1725.5569067839485,4040.283167960321,2305.5466420690373,14307.845200007734,477.96197406279066,2125.4652763868808,1166.2554329590246
294,0.999377822379051,2450.0112670966173,608.7724235360749,1644.2839269827036,-670.5900095508646,2794.516759972225,953.2779164116836,1472.8773142937464,-894.7184096876002,1999.3772033034234,158.13835974288136,948.0245484927516,-247.63822815872717
295,0.9926043551303813,7090.285185777073,1203.0140510374442,3532.577995588111,1427.0535634892865,7104.124134907067,1216.8530001674444,3317.5029701280278,1725.6486705241373,6491.49257295817,604.2214382185405,1900.091350739403,577.8912767640794
296,0.9801513994343674,17179.236208427483,1312.2530872964758,4259.067675435775,2373.738947210374,17525.54878719009,1658.5656660590475,4152.3394245449235,2492.951769785645,16332.707452571012,465.724331439993,2139.7215446877062,1101.3411137852352
297,0.9985544209855988,1867.938767735439,513.3066704313926,1370.4851630132298,-861.6349526693933,2663.465304658945,1308.8332073549007,1389.7499124095052,-1111.2176215444965,1432.3634512384833,77.73135393443627,907.9810375465809,-491.8254425795462
298,0.9980075848742146,3723.6093682377154,790.5326262973595,2876.8191727866047,785.0869968708223,4603.408196547533,1670.3314546071822,3063.393721529145,451.76938061219056,3083.960337554692,150.88359561433623,1703.7006164834202,612.0831025815797
299,0.9995882821014437,1871.0505906491824,446.73402609957583,1399.949942305494,-773.9526404536459,2555.36428525202,1131.0477207024103,1347.1067045247432,-1019.1148701324676,1531.0263428401774,106.70977829057135,994.9723842940317,-467.57850538836027
300,0.9885251274035489,5693.214955817254,1137.5070358402188,3103.592835488819,1025.2528364468274,5728.442765653253,1172.734845676224,2947.329336741695,1036.7584929402803,5066.22951872989,510.5215987528553,1527.8465538373666,470.9651564594771
301,0.9846791284621771,6730.413322671213,1373.7317920108192,3720.3256129658535,1536.8968291945744,7166.166727546374,1809.4851968859791,3802.797911368309,1379.9503071722775,5905.821034036029,549.1395033756361,1987.369831758719,908.0459361603205
302,0.9818366679911594,8356.796493949872,1482.667486485593,3534.0293956087758,1366.427397650212,8608.07908867738,1733.9500812130993,3131.684498661569,1286.2748546613018,7557.637173946284,683.5081664820051,2090.669011978113,773.5968719469133
303,0.9987324328767273,5658.136481820733,1029.7248558421918,3943.9243800828053,2148.312860502893,6297.233832474362,1668.822206495827,4114.84545525248,1861.1447805408836,4974.393005964806,345.9813799862658,2258.005578647365,1385.7717124016733
304,0.9932318125147176,6483.475476061192,1333.0165429406131,3574.4861335040605,1286.8736697066618,6715.62730432144,1565.1683712008623,3535.2529474815924,1235.8491690071469,5662.458783018306,511.99984989772406,1720.0519796982658,638.6029682871294
305,0.991802477091491,5063.226578353766,1158.0344496607418,3173.8520024333407,1029.6959865111721,5382.37603854325,1477.1839098502237,3192.797897561034,782.3994870781327,4339.5567812290665,434.3646525360415,1609.705932752391,646.3998550621704
306,0.9998592406586071,3676.0189001601666,771.4104398804067,2526.4866693488984,389.60046732373326,3977.0312596191857,1072.4227993394256,2361.1370024510525,-69.64147907703266,3173.796138520396,269.18767824063707,1420.7504366697374,422.21403724064413
307,0.9994687811050241,2992.602094914448,578.8981120304192,2104.601070044386,-135.41290731551544,3317.1844464733617,903.4804635893302,1945.8359514168349,-486.5643237449896,2562.707840799236,149.00385791520796,1178.7330201236864,96.10422610918866
308,0.9987789797536356,6950.029555264736,1236.8489186386073,4538.116945435916,2505.425790812767,7534.999651612537,1821.8190149864079,4814.064425273229,2295.892990592002,6126.733281886798,413.5526452606708,2362.598264092964,1467.8912565478342
309,0.9918647347570277,7376.539130753284,1382.6889095793263,4070.4860579730803,1766.1223135176508,7739.5595286458865,1745.7093074719285,3967.741005087453,1626.304971653208,6543.897022473073,550.0468012991164,2178.0127684938793,990.4318852728043
310,0.9713743982110378,7530.154765320753,1427.8148132642466,3542.7122859769365,1303.786852564284,7758.8882973579375,1656.5483453014178,3111.897316687587,1063.6835508967781,6696.626707480279,594.2867554237695,1976.8939783285534,768.5715134825081
311,0.9901239836693619,20661.51475556843,1198.5133859063098,4341.078009814007,2558.103139994861,21113.14455075036,1650.1431810882389,4085.866739037032,2433.6813211425097,19909.460239009997,446.45886934788336,2478.9398812170684,1448.9502795612093
312,0.9991448085817894,1954.3263974075164,446.72420252796627,1577.9102533096432,-211.62347861404243,2960.28208348011,1452.6798886005586,1859.356121676282,-691.8573223251026,1570.2197369634862,62.617542083935916,1086.2733303525436,-28.687783236548096
313,0.9947047531175871,4082.9005793665183,493.6633430633855,2769.5079318121175,1061.7824151831712,4307.7757490612585,718.5385127581268,2386.9789930585407,919.990203218285,3638.1485753112074,48.91133900807585,1292.045454921794,492.33835710201856
314,0.99345303930284,11039.35990120725,1089.074208365878,5459.0642297517,3607.944283289304,11098.073144645672,1147.7874518042966,5533.248635407366,3946.342308299108,10301.353230400702,351.0675375593306,1901.2849582127344,1070.5172150350052
315,0.9986748828431493,7499.540167558433,1168.068425699344,5129.458581931971,2945.4633433944878,7754.705891088015,1423.2341492289243,5147.317488212626,2798.6697592226255,6768.470670971192,436.998929112106,2485.4475406559995,1507.8769187732837
316,0.21735436608166991,5111.190857891517,47.44849217650463,664.3159749293648,574.0343731269754,5114.326799093753,50.58443337873996,373.55136150930423,321.0837818573581,5063.742365715013,0.0,313.92262918624033,272.8559216972033
