,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
205,206,reposition,1493596940.0,469.0,2390.0,,,110.3738016,20.0184417,110.3242171,20.0017526
206,209,reposition,1493596940.0,496.0,2390.0,,,110.3384474,20.0541928,110.3242171,20.0017526
207,302,reposition,1493596940.0,496.0,2390.0,,,110.3384474,20.0541928,110.3242171,20.0017526
208,211,reposition,1493596940.0,1339.0,2390.0,,,110.3414732,20.004383,110.3242171,20.0017526
209,218,reposition,1493596940.0,1738.0,2390.0,,,110.3092079,20.002332,110.3242171,20.0017526
210,224,reposition,1493596940.0,2192.0,2390.0,,,110.3471169,19.9919888,110.3242171,20.0017526
211,309,reposition,1493596940.0,2192.0,2390.0,,,110.3471169,19.9919888,110.3242171,20.0017526
212,301,reposition,1493596940.0,3285.0,2390.0,,,110.3622786,19.9857893,110.3242171,20.0017526
213,238,reposition,1493596940.0,860.0,2390.0,,,110.2901851,19.9815014,110.3242171,20.0017526
214,268,reposition,1493596940.0,2679.0,2390.0,,,110.2803676,19.9933808,110.3242171,20.0017526
215,243,reposition,1493596940.0,2211.0,2390.0,,,110.3517103,20.0236588,110.3242171,20.0017526
216,297,reposition,1493596940.0,2211.0,2390.0,,,110.3517103,20.0236588,110.3242171,20.0017526
217,245,reposition,1493599820.0,2211.0,2390.0,,,110.3517103,20.0236588,110.3242171,20.0017526
218,245,reposition,1493596940.0,2229.0,2390.0,,,110.3054238,19.9928349,110.3242171,20.0017526
219,327,reposition,1493596940.0,1095.0,2390.0,,,110.2944165,19.9781804,110.3242171,20.0017526
220,253,reposition,1493596940.0,394.0,2390.0,,,110.4164729,20.060289,110.3242171,20.0017526
221,269,reposition,1493596940.0,1735.0,2390.0,,,110.2978197,20.0147955,110.3242171,20.0017526
222,282,reposition,1493596940.0,1735.0,2390.0,,,110.2978197,20.0147955,110.3242171,20.0017526
223,262,reposition,1493596940.0,2228.0,2390.0,,,110.3242209,19.999546,110.3242171,20.0017526
224,91,pickup_p2,1493599490.0,2228.0,2390.0,17592368106452.0,17592368087334.0,110.3242209,19.999546,110.3242171,20.0017526
225,266,reposition,1493596940.0,1555.0,2390.0,,,110.3397274,20.0579927,110.3242171,20.0017526
226,293,reposition,1493596940.0,3291.0,2390.0,,,110.364405,19.983063,110.3242171,20.0017526
227,368,reposition,1493596940.0,3291.0,2390.0,,,110.364405,19.983063,110.3242171,20.0017526
228,280,reposition,1493596940.0,194.0,2390.0,,,110.3432178,20.0358849,110.3242171,20.0017526
229,303,reposition,1493596940.0,1754.0,2390.0,,,110.3224961,20.0164463,110.3242171,20.0017526
230,287,reposition,1493596940.0,448.0,2390.0,,,110.3516669,20.0190248,110.3242171,20.0017526
231,333,reposition,1493596940.0,448.0,2390.0,,,110.3516669,20.0190248,110.3242171,20.0017526
232,294,reposition,1493596940.0,716.0,2390.0,,,110.2221599,20.0107237,110.3242171,20.0017526
233,298,reposition,1493596940.0,1078.0,2390.0,,,110.3409699,19.9883926,110.3242171,20.0017526
234,300,reposition,1493596940.0,2234.0,2390.0,,,110.3242048,19.9928843,110.3242171,20.0017526
235,305,reposition,1493596940.0,3840.0,2390.0,,,110.4657353,19.94378,110.3242171,20.0017526
236,306,reposition,1493596940.0,2059.0,2390.0,,,110.1860578,20.0430558,110.3242171,20.0017526
237,310,reposition,1493596940.0,57.0,2390.0,,,110.3029236,20.012963,110.3242171,20.0017526
238,311,reposition,1493596940.0,2119.0,2390.0,,,110.2998908,19.9850441,110.3242171,20.0017526
239,314,reposition,1493596940.0,1066.0,2390.0,,,110.3524365,19.9897543,110.3242171,20.0017526
240,317,reposition,1493596940.0,2180.0,2390.0,,,110.4087591,20.0184624,110.3242171,20.0017526
241,318,reposition,1493596940.0,592.0,2390.0,,,110.3623617,20.047,110.3242171,20.0017526
242,322,reposition,1493596940.0,1570.0,2390.0,,,110.3625338,20.0699965,110.3242171,20.0017526
243,326,reposition,1493596940.0,1048.0,2390.0,,,110.357566,20.0041143,110.3242171,20.0017526
244,330,reposition,1493596940.0,3849.0,2390.0,,,110.380986,19.9712161,110.3242171,20.0017526
245,349,reposition,1493599920.0,3849.0,2390.0,,,110.380986,19.9712161,110.3242171,20.0017526
246,332,reposition,1493596940.0,3190.0,2390.0,,,110.377264,19.990484,110.3242171,20.0017526
247,336,reposition,1493596940.0,1351.0,2390.0,,,110.3643214,20.0407532,110.3242171,20.0017526
248,339,reposition,1493596940.0,3290.0,2390.0,,,110.3622935,19.9877523,110.3242171,20.0017526
249,355,reposition,1493596940.0,3263.0,2390.0,,,110.3770576,20.0253071,110.3242171,20.0017526
250,359,reposition,1493596940.0,1578.0,2390.0,,,110.3619522,20.0625753,110.3242171,20.0017526
251,360,reposition,1493596940.0,1346.0,2390.0,,,110.3566692,20.0401091,110.3242171,20.0017526
252,362,reposition,1493596940.0,720.0,2390.0,,,110.2039842,20.013936,110.3242171,20.0017526
