,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
105,41,pickup_p1,2017-05-01 00:53:25.000000000,1493600005.0,2692.0,1078.0,17592368250772,,110.3380385,19.9842786,110.3409699,19.9883926
106,53,pickup_p2,2017-05-01 00:49:35.000000000,1493599775.0,7.0,1078.0,17592367982761,17592368137778.0,110.3374007,19.9879419,110.3409699,19.9883926
107,123,delivery_p1,2017-05-01 00:49:08.244280576,1493599748.2442806,1077.0,3269.0,17592367984808,17592368010477.0,110.3453365,19.988906,110.3418024,20.0320787
108,14,"failed_ridepooling,delivery_p1",2017-05-01 00:13:10.000000000,1493597590.0,81.0,3269.0,17592367671235,,110.3058475,20.0262806,110.3418024,20.0320787
109,64,"failed_ridepooling,delivery_p1",2017-05-01 00:23:00.000000000,1493598180.0,3571.0,3269.0,17592367686503,,110.3545553,20.0743586,110.3418024,20.0320787
110,60,delivery_p2,2017-05-01 00:45:41.058684672,1493599541.0586846,2400.0,3269.0,17592368074276,17592367991408.0,110.3620642,20.0102822,110.3418024,20.0320787
111,75,delivery_p1,2017-05-01 01:01:54.927973632,1493600514.9279735,1077.0,1740.0,17592368260459,17592368134918.0,110.3453365,19.988906,110.2978997,20.0033891
112,68,pickup_p1,2017-05-01 00:32:45.000000000,1493598765.0,803.0,1740.0,17592367809999,,110.2900341,20.0125741,110.2978997,20.0033891
113,4,delivery_p2,2017-05-01 00:03:10.000000000,1493596990.0,1370.0,3278.0,17592367671334,17592367671334.0,110.3675838,20.0289556,110.3184971,20.0320049
114,4,delivery_p1,2017-05-01 00:15:40.387288064,1493597740.387288,3278.0,3278.0,17592367671334,17592367671334.0,110.3184971,20.0320049,110.3184971,20.0320049
115,97,delivery_p2,2017-05-01 00:21:20.910681344,1493598080.9106812,490.0,3278.0,17592367764808,17592367783947.0,110.3356261,20.0343245,110.3184971,20.0320049
116,37,delivery_p1,2017-05-01 00:13:59.555565056,1493597639.555565,1370.0,1382.0,17592367692218,17592367755876.0,110.3675838,20.0289556,110.3214524,20.0334191
