,Unnamed: 0,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day
23426,445877,17592368140985,2017-05-01 08:56:49,2017-05-01 08:53:01,110.289,20.0233,110.3412,20.052,2017,5,1
23427,445878,17592368144901,2017-05-01 08:48:11,2017-05-01 08:47:28,110.3018,20.017,110.3505,20.0259,2017,5,1
23428,445879,17592368182354,2017-05-01 08:46:57,2017-05-01 08:44:54,110.3186,20.0276,110.3317,20.0343,2017,5,1
23493,445944,17592367836152,2017-05-01 08:32:11,2017-05-01 08:28:07,110.3433,19.9841,110.2718,19.9575,2017,5,1
23494,445945,17592368074276,2017-05-01 08:33:52,2017-05-01 08:32:59,110.3366,20.0697,110.3731,19.99,2017,5,1
23557,446008,17592367677219,2017-05-01 08:04:37,2017-05-01 08:01:25,110.3197,19.9741,110.3203,19.9912,2017,5,1
23558,446009,17592368029360,2017-05-01 08:47:02,2017-05-01 08:43:23,110.3703,20.0266,110.3254,20.0209,2017,5,1
23559,446010,17592368031258,2017-05-01 08:45:20,2017-05-01 08:43:47,110.4634,19.9369,110.3446,19.9834,2017,5,1
23560,446011,17592368151449,2017-05-01 08:49:34,2017-05-01 08:47:55,110.3277,20.0416,110.3435,20.0011,2017,5,1
23623,446074,17592368050594,2017-05-01 08:34:55,2017-05-01 08:27:43,110.3447,19.9966,110.3194,20.0049,2017,5,1
23624,446075,17592368470338,2017-05-01 09:02:42,2017-05-01 08:59:36,110.3285,20.0212,110.3221,20.0616,2017,5,1
23691,446142,17592367926444,2017-05-01 08:35:48,2017-05-01 08:33:54,110.3205,20.0237,110.292,20.0072,2017,5,1
23761,446212,17592367859919,2017-05-01 08:25:57,2017-05-01 08:18:41,110.33,20.0075,110.3676,20.0348,2017,5,1
23762,446213,17592367908351,2017-05-01 08:37:27,2017-05-01 08:29:58,110.3409,20.0015,110.3571,20.0587,2017,5,1
23763,446214,17592368037623,2017-05-01 08:47:11,2017-05-01 08:45:04,110.2867,20.0202,110.3444,19.9834,2017,5,1
23764,446215,17592368145466,2017-05-01 08:41:18,2017-05-01 08:37:21,110.3816,19.9847,110.362,19.9869,2017,5,1
23890,446341,17592367543316,2017-05-01 08:13:01,2017-05-01 08:06:14,110.3405,19.9977,110.3337,20.0263,2017,5,1
23891,446342,17592367937835,2017-05-01 08:41:28,2017-05-01 08:36:19,110.3336,20.041,110.3515,20.0372,2017,5,1
23892,446343,17592368297039,2017-05-01 08:59:14,2017-05-01 08:55:15,110.3203,20.0626,110.3378,20.022,2017,5,1
23958,446409,17592367871480,2017-05-01 08:25:29,2017-05-01 08:21:28,110.3321,19.9133,110.3025,20.0027,2017,5,1
23959,446410,17592368171033,2017-05-01 08:53:34,2017-05-01 08:49:15,110.3123,20.0251,110.3439,20.0387,2017,5,1
23960,446411,17592368220474,2017-05-01 08:54:49,2017-05-01 08:52:41,110.2377,20.0367,110.2395,20.0345,2017,5,1
24021,446472,17592367533518,2017-05-01 08:05:40,2017-05-01 08:03:41,110.3349,20.0127,110.2883,19.9814,2017,5,1
24022,446473,17592367755618,2017-05-01 08:16:32,2017-05-01 08:08:44,110.3441,20.0363,110.3334,20.0021,2017,5,1
24088,446539,17592367752485,2017-05-01 08:33:34,2017-05-01 08:19:05,110.304,19.963,110.298,19.9535,2017,5,1
24146,446597,17592367983548,2017-05-01 08:34:58,2017-05-01 08:33:54,110.4011,19.9924,110.3749,20.0113,2017,5,1
24218,446669,17592368373180,2017-05-01 09:03:16,2017-05-01 08:59:10,110.379,20.0252,110.3469,19.9899,2017,5,1
24279,446730,17592367620355,2017-05-01 08:13:25,2017-05-01 08:11:19,110.3564,20.0246,110.2958,20.0024,2017,5,1
24342,446793,17592367799096,2017-05-01 08:21:57,2017-05-01 08:19:27,110.3042,19.9817,110.2871,19.982,2017,5,1
24410,446861,17592367517533,2017-05-01 08:23:15,2017-05-01 08:03:29,110.3178,19.9946,110.299,19.9856,2017,5,1
24473,446924,17592367721581,2017-05-01 08:33:48,2017-05-01 08:23:23,110.3159,20.0337,110.351,19.9858,2017,5,1
24474,446925,17592367724728,2017-05-01 08:29:38,2017-05-01 08:13:39,110.3165,20.0243,110.3277,20.0175,2017,5,1
24475,446926,17592368366332,0000-00-00 00:00:00,2017-05-01 08:57:46,110.3433,19.9841,110.3285,20.0404,2017,5,1
24542,446993,17592367691483,2017-05-01 08:10:49,2017-05-01 08:05:12,110.2592,19.9359,110.3517,20.0164,2017,5,1
24543,446994,17592367814581,2017-05-01 08:24:33,2017-05-01 08:24:00,110.3176,20.025,110.2992,20.0239,2017,5,1
24544,446995,17592368305964,2017-05-01 08:58:57,2017-05-01 08:57:06,110.3428,19.9868,110.3824,20.0237,2017,5,1
24606,447057,17592367532967,2017-05-01 08:04:29,2017-05-01 08:03:32,110.4634,19.9369,110.3664,20.0103,2017,5,1
24607,447058,17592367767175,2017-05-01 08:13:28,2017-05-01 08:11:39,110.3408,20.0245,110.3472,20.0505,2017,5,1
24608,447059,17592368274702,2017-05-01 08:57:10,2017-05-01 08:50:41,110.3267,20.0269,110.3109,20.0077,2017,5,1
24672,447123,17592367686503,2017-05-01 08:12:59,2017-05-01 08:03:54,110.341,20.0316,110.3564,20.0736,2017,5,1
24673,447124,17592367769241,0000-00-00 00:00:00,2017-05-01 08:20:26,110.4634,19.9369,110.3354,20.062,2017,5,1
24674,447125,17592367773397,2017-05-01 08:21:53,2017-05-01 08:20:46,110.3285,19.9919,110.3537,20.0208,2017,5,1
24675,447126,17592368105238,0000-00-00 00:00:00,2017-05-01 08:39:29,110.345,20.0293,110.3275,20.024,2017,5,1
24738,447189,17592368001626,2017-05-01 08:41:24,2017-05-01 08:37:43,110.3295,20.0623,110.3399,19.9851,2017,5,1
24739,447190,17592368072136,2017-05-01 08:35:34,2017-05-01 08:32:31,110.3378,20.0376,110.3363,19.9902,2017,5,1
24740,447191,17592368166093,2017-05-01 08:51:57,2017-05-01 08:48:55,110.3249,20.0625,110.3405,20.0014,2017,5,1
24812,447263,17592367896177,2017-05-01 08:39:54,2017-05-01 08:33:44,110.3597,20.0431,110.3647,20.0247,2017,5,1
24813,447264,17592368471307,2017-05-01 09:02:33,2017-05-01 08:59:47,110.3399,20.0268,110.3561,20.0218,2017,5,1
24951,447402,17592367580292,2017-05-01 08:04:39,2017-05-01 08:00:54,110.3392,20.0096,110.3782,20.0252,2017,5,1
25022,447473,17592367679321,2017-05-01 08:24:48,2017-05-01 08:20:04,110.3568,20.0676,110.3017,20.0145,2017,5,1
25078,447529,17592367984519,2017-05-01 08:40:53,2017-05-01 08:34:07,110.3159,20.0337,110.359,19.9978,2017,5,1
25079,447530,17592368172193,2017-05-01 08:49:28,2017-05-01 08:49:20,110.3391,20.0317,110.3455,20.0445,2017,5,1
